"NumEnr"|"Référence"|"Tare"|"Commentaires"|"Date_Création"|"Date_Modification"|"Clos"|"Stockage"|"Article"
"1"|""|"0"|""|"23/03/2006 16:36:21"|"08/07/2006 14:15:32"|"0"|""|"1"
"28"|"B247"|"31480"|""|"10/07/2006 11:03:00"|"03/01/2011 19:20:37"|"1"|"Elap-1"|"407"
"29"|"A958"|"58101"|""|"10/07/2006 11:32:06"|"05/08/2008 09:49:26"|"0"|"ELAP-1"|"408"
"30"|"B1156"|"28917"|""|"10/07/2006 14:09:36"|"05/08/2008 09:50:00"|"0"|"Elap-1"|"476"
"31"|"B786"|"29501"|""|"10/07/2006 14:26:38"|"05/08/2008 09:50:14"|"0"|"Elap-1"|"477"
"32"|"B255"|"30276"|""|"10/07/2006 14:50:35"|"13/05/2013 15:35:49"|"0"|"Elap-3"|"390"
"33"|"A880"|"56199"|""|"10/07/2006 15:12:37"|"13/05/2013 15:34:53"|"0"|"Elap-3"|"263"
"34"|"Y054"|"35884"|""|"10/07/2006 16:05:10"|"05/09/2008 11:33:24"|"0"|"TBS-2"|"281"
"35"|"A368"|"55019"|""|"11/07/2006 08:46:55"|"05/08/2008 09:51:06"|"0"|"Elap-1"|"411"
"36"|"B001"|"30657"|""|"11/07/2006 08:58:09"|"05/08/2008 09:51:21"|"0"|"Elap-1"|"412"
"37"|"B060"|"30650"|""|"11/07/2006 09:07:40"|"05/08/2008 09:51:36"|"0"|"Elap-1"|"383"
"38"|"A1205"|"58806"|""|"11/07/2006 09:16:10"|"05/08/2008 09:51:55"|"0"|"Elap-1"|"384"
"39"|"B147"|"30440"|""|"11/07/2006 09:18:06"|"05/08/2008 09:52:17"|"0"|"Elap-1"|"385"
"41"|"B185"|"31251"|""|"11/07/2006 09:39:45"|"13/05/2013 15:32:12"|"0"|"ELAP-3"|"267"
"42"|"Y007"|"35723"|""|"11/07/2006 10:51:06"|"05/09/2008 11:19:39"|"0"|"TBS-1"|"280"
"43"|"Y008"|"35793"|""|"11/07/2006 11:11:33"|"05/09/2008 11:19:49"|"0"|"TBS-1"|"347"
"44"|"Y060"|"36364"|""|"11/07/2006 11:30:03"|"05/09/2008 11:35:33"|"0"|"TBS-2"|"348"
"45"|"A557"|"57669"|""|"11/07/2006 11:42:22"|"13/05/2013 15:09:42"|"0"|"Elap-2"|"282"
"46"|"A206"|"54816"|""|"11/07/2006 14:04:39"|"13/05/2013 15:09:39"|"0"|"Elap-2"|"283"
"47"|"A548"|"57391"|""|"11/07/2006 15:07:47"|"13/05/2013 15:32:01"|"0"|"Elap-3"|"284"
"49"|"B277"|"30377"|""|"11/07/2006 15:43:58"|"07/08/2008 10:59:44"|"0"|"Elap-3"|"366"
"50"|"A255"|"54745"|""|"11/07/2006 16:02:00"|"05/08/2008 09:52:32"|"0"|"Elap-1"|"480"
"51"|"B505"|"29482"|""|"11/07/2006 16:22:22"|"05/08/2008 09:50:27"|"0"|"Elap-1"|"388"
"52"|"B207"|"31691"|""|"11/07/2006 16:28:09"|"05/08/2008 09:50:45"|"0"|"Elap-1"|"389"
"53"|"B601"|"30324"|""|"11/07/2006 16:38:11"|"05/08/2008 09:53:08"|"0"|"Elap-1"|"295"
"54"|"B201"|"31315"|""|"11/07/2006 16:43:32"|"05/08/2008 09:53:24"|"0"|"Elap-1"|"296"
"55"|"Y131"|"36483"|""|"11/07/2006 16:53:22"|"08/09/2008 15:01:24"|"0"|"TBS-3"|"341"
"56"|"Y083"|"36331"|""|"11/07/2006 16:57:47"|"18/01/2013 15:10:37"|"0"|"TBS-2"|"339"
"58"|"A874"|"56033"|""|"11/07/2006 17:12:24"|"13/05/2013 15:34:00"|"0"|"Elap-3"|"351"
"59"|"A873"|"57621"|""|"11/07/2006 17:19:48"|"06/08/2008 12:13:23"|"0"|"Elap-2"|"298"
"61"|"Y039"|"35534"|""|"12/07/2006 10:51:40"|"29/08/2008 15:16:37"|"1"|"TBS-2"|"392"
"63"|"A661"|"53101"|"clos le 05/02/2007 - DE-cloturé le 20/07/2009 FP"|"12/07/2006 12:02:03"|"13/05/2013 15:33:41"|"0"|"Elap-3"|"299"
"64"|"A677"|"54365"|"clos le 05/08/2008"|"12/07/2006 14:51:09"|"10/11/2011 15:17:05"|"1"|"ELAP-2"|"300"
"65"|"A872"|"54373"|""|"12/07/2006 14:51:11"|"21/09/2010 10:16:20"|"0"|"ELAP-2"|"300"
"66"|"A280"|"54462"|""|"12/07/2006 14:51:36"|"16/07/2009 11:41:10"|"1"|"ELAP-2"|"300"
"67"|"A875"|"57303"|""|"12/07/2006 14:52:00"|"11/08/2011 12:04:01"|"1"|"ELAP-2"|"1130"
"68"|"Sac-9"|"0"|""|"12/07/2006 15:27:10"|"12/07/2006 15:27:30"|"0"|"S-2"|"302"
"69"|"Sac-10"|"0"|""|"12/07/2006 15:27:15"|"12/07/2006 15:27:44"|"0"|"S-2"|"302"
