Stockage|Ref Flacon|Code|Lot|Nom|Tare  mg|Stock (mg)
VIP-2|A004|L1116|504.010|Pseudocerastes persicus persicus|55 015|17 757
VIP-2|A007|L1153|515.090|Vipera latastei gaditana|52 711|472
VIP-2|A008|L1154|904.090|Vipera lotievi|53 537|0
DIV|A009|L3104|722.100|Xenopus laevis|55 128|3 426
VIP-3|A011|L1130|523.030|Montivipera raddei|54 917|5 063
CROT-4|A013|L1270|202.180|Crotalus lepidus klauberi|53 674|49
CROT-4|A014|L1204|425.000|Agkistrodon piscivorus conanti|55 181|17 200
CROT-1|A015|L1260|816.050|Crotalus simus ssp|55 746|29
SCOR-1|A017|L2118A|329.030|Opistophthalmus wahlbergii (Messina)|54 853|6 666
VIP-1|A020|L1130|012.180|Montivipera raddei|53 692|2 422
SP-SC|A022T1|601383||Androctonus australis S-P|54 712|0
CROT-4|A028|L1206|612.180|Agkistrodon piscivorus ssp|54 080|369
ELAP-2|A029|L1324C|626.090|Naja naja (Sri Lanka)|53 382|0
ELAP-1|A033|L1311|812.080|Hemachatus haemachatus|52 318|2 021
VIP-2|A050|L1124|916.021|Macrovipera deserti|55 029|702
SCOR-3|A092|L2104|723.030|Buthacus arenicola|54 390|1 595
ELAP-1|A1001|L1330|227.000|Oxyuranus scutellatus ssp|57 678|283
CROT-4|A1010|L1273|102.180|Crotalus oreganus|53 219|707
CROT-4|A1012|L1202|802.180|Agkistrodon c. contortrix|53 181|0
CROT-2|A102|L1211|521.101|Bothrops jararaca (Brazil)|52 287|2 170
ELAP-3|A1020|L1307|902.180|Dendroaspis angusticeps (Tanzania)|52 316|134
ELAP-3|A1024|L1376|028.080|Naja mossambica (South Africa)|57 212|848
CROT-1|A1036|L1210C|521.070|Bothrops atrox (Peru)|57 846|7 624
CROT-2|A104|L1227|511.040|Protobothrops mucrosquamatus|53 074|2 644
ELAP-3|A1045|L1315|710.198|Naja haje (ANY ORIGIN)|56 769|0
CROT-3|A1047|L1208|801.040|Bothrops alternatus|56 842|6 773
SP-SC|A108|601384||Buthus mardochei S-P|53 072|0
ELAP-2|A110|L1342|402.180|Naja nubiae|52 225|7 293
SCOR-1|A1188|L2115|908.031|Parabuthus transvaalicus|58 589|10 517
ELAP-1|A1205|L1301A|321.040|Bungarus fasciatus (Myanmar)|58 806|55
CROT-2|A1208|L1243|827.050|Tropidolaemus wagleri|59 191|0
CROT-3|A1209|L1290B|121.110|Lachesis muta (Peru)|58 909|162
DIV|A1210|L3101|811.140|Bufo bufo|58 595|1 023
VIP-2|A1212|L1126B|727.050|Macrovipera lebetina obtusa (Azerbaidjan)|58 643|84
VIP-2|A1213|L1128B|528.000|Macrovipera lebetina turanica (Turkmenistan)|58 677|10 158
SCOR-3|A1216|L2138|727.060|Mesobuthus martensii|59 051|131
CROT-1|A1218|L1221|221.070|Crotalus horridus horridus|58 494|4 228
CROT-4|A1220|L1252|711.040|Gloydius blomhoffii brevicaudus|58 778|234
VIP-3|A1267|L1115|116.050|Eristicophis macmahonii|53 791|5 013
DIV|A1268|L3105|313.060|Bufo caucasicus|53 703|2 833
VIP-3|A1291|L1159B|624.070|Bitis arietans (West Africa)|54 013|243
VIP-2|A131|L1127|806.050|Macrovipera schweizeri|54 273|0
VIP-1|A1335|L1146|722.060|Montivipera wagneri|54 129|4 141
SCOR-1|A1341|L2124|920.130|Parabuthus mossambicensis|53 792|4 294
SCOR-1|A1343|L2121|030.130|Opistophthalmus glabrifrons|53 955|5 182
CROT-2|A1345|L1267|801.180|Bothrops neuwiedi diporus|53 300|2 055
CROT-1|A1346|L1210B|010.180|Bothrops atrox (French Guyana)|53 627|193
