NumEnr|Produit|RÓ©úÓ©ëfÓ©úÓ©ërence|Date_CrÓ©úÓ©ëation|DÓ©úÓ©ëbut_Production|Fin_Production|Date_Lyophilisation|Date_Cloture|Clos|Commentaires|E|S|Solde|RemarqueImportante|Fournisseur|NewLot
27|407|917.050|29/11/1994 00:00:00|29/11/1994 00:00:00||29/11/1994 00:00:00||0||127|-92|35|0|1|917.050
28|408|111.100|12/10/1989 00:00:00|12/10/1989 00:00:00||12/10/1989 00:00:00|30/03/2011 11:49:35|1||211|-211|0|0|1|111.100
29|408|817.050|18/07/2005 00:00:00|18/07/2005 00:00:00||19/07/2005 00:00:00||0||215|-14|201|0|1|817.050
30|476|127.040|21/07/2004 00:00:00|21/07/2004 00:00:00||21/07/2004 00:00:00||0||390|-75|315|0|2|127.040
31|477|011.100|29/11/1994 00:00:00|29/11/1994 00:00:00||29/11/1994 00:00:00||0||127|-90|37|0|1|011.100
32|390|301.100|22/02/1996 00:00:00|22/02/1996 00:00:00||22/02/1996 00:00:00||0||750|-283|467|0|1|301.100
33|263|304.010|28/06/1991 00:00:00|28/06/1991 00:00:00||07/12/1994 00:00:00||0||962|-896|66|0|1|304.010
34|281|038.040|05/10/2004 00:00:00|05/10/2004 00:00:00||20/07/2004 00:00:00|18/05/2007 10:48:08|1||1440|-1440|0|0|1|038.040
35|281|214.050|03/12/2004 00:00:00|03/12/2004 00:00:00||31/01/2005 00:00:00|18/05/2007 10:47:45|1||15170|-15170|0|0|1|214.050
36|281|227.050|08/06/2005 00:00:00|08/06/2005 00:00:00|08/08/2011 09:39:15|08/08/2005 00:00:00|08/08/2011 09:40:04|1||36500|-36500|0|0|1|227.050
37|411|717.009|17/07/1990 00:00:00|17/07/1990 00:00:00||17/07/1990 00:00:00||0||248|-248|0|0|1|717.009
38|412|607.050|15/03/1990 00:00:00|15/03/1990 00:00:00||15/03/1990 00:00:00||0||61|-55|6|0|1|607.050
39|383|031.040|06/02/2004 00:00:00|06/02/2004 00:00:00||06/02/2004 00:00:00||0||266|-262|4|0|3|031.040
40|384|321.040|06/02/2004 00:00:00|06/02/2004 00:00:00||06/02/2004 00:00:00||0||1768|-1620|148|0|3|321.040
41|385|811.040|06/02/2004 00:00:00|06/02/2004 00:00:00||06/02/2004 00:00:00||0||1691|-1608|83|0|3|811.040
42|267|115.010|11/07/2006 09:39:22|11/05/2001 00:00:00||||0||208|-39|169|0|1|115.010
43|280|305.000|07/04/1999 00:00:00|07/04/1999 00:00:00||07/04/1999 00:00:00||0||32000|-20679|11321|0|1|305.000
44|347|405.000|14/04/1999 00:00:00|14/04/1999 00:00:00||07/04/1999 00:00:00||0||38830|-13439|25391|0|1|405.000
45|348|218.020|08/08/2005 00:00:00|08/08/2005 00:00:00|09/01/2007 07:47:13|17/07/2002 00:00:00|29/03/2010 19:39:49|1||27318|-27318|0|0|1|218.020
46|282|115.000|11/05/2000 00:00:00|11/05/2000 00:00:00||11/05/2000 00:00:00|30/03/2011 11:49:45|1||510|-510|0|0|1|115.000
48|283|601.040|20/07/2004 00:00:00|20/07/2004 00:00:00||09/01/2004 00:00:00|30/03/2011 11:57:17|1||8110|-8110|0|0|1|601.040
49|283|815.050|12/05/2005 00:00:00|12/05/2005 00:00:00|15/08/2006 15:41:21|13/05/2005 00:00:00|18/08/2006 15:42:01|1||16470|-16470|0|0|1|815.050
50|284|622.030|26/02/2003 00:00:00|26/02/2003 00:00:00||26/02/2003 00:00:00|30/03/2011 11:58:15|1||350|-350|0|0|2|622.030
51|284|520.130|31/10/2003 00:00:00|31/10/2003 00:00:00||31/10/2003 00:00:00|30/03/2011 11:56:58|1||1520|-1520|0|0|2|520.130
52|284|712.040|17/02/2004 00:00:00|17/02/2004 00:00:00||18/02/2004 00:00:00||0||2360|-862|1498|0|2|712.040
53|366|039.030|21/05/2003 00:00:00|21/05/2003 00:00:00||21/05/2003 00:00:00||0||234|-215|19|0|2|039.030
54|480|030.100|11/07/2006 16:01:25|30/08/1990 00:00:00||22/04/1999 00:00:00||0| QI Pur, lyophilisÓ©úÓ©ë, RSV|2990|-2585|405|0|1|030.100
55|388|602.040|06/02/2004 00:00:00|06/02/2004 00:00:00||06/02/2004 00:00:00||0||443|-361|82|0|3|602.040
56|389|611.040|06/02/2004 00:00:00|06/02/2004 00:00:00||06/02/2004 00:00:00||0||960|-111|849|0|3|611.040
57|295|AM9.010|22/04/1999 00:00:00|22/04/1999 00:00:00||22/04/1999 00:00:00||0||28|-5|23|0|4|AM9.010
58|296|AM9.020|22/04/1999 00:00:00|22/04/1999 00:00:00||22/04/1999 00:00:00||0||27||27|0|4|AM9.020
60|341|622.040|26/02/2004 00:00:00|26/02/2004 00:00:00||26/02/2004 00:00:00||0||52189|-4041|48148|0|5|622.040
61|339|015.010|27/02/2006 00:00:00|27/02/2006 00:00:00|28/12/2006 00:00:00|06/10/2004 00:00:00|09/01/2007 08:17:27|1||48549|-48549|0|1|1|015.010
62|350|805.010|10/02/1991 00:00:00|10/02/1991 00:00:00|17/08/2009 14:02:56|10/02/1991 00:00:00|17/08/2009 14:03:45|1||22304|-22304|0|0|1|805.010
63|351|905.010|24/12/1990 00:00:00|24/12/1990 00:00:00||24/12/1990 00:00:00||0||18061|-12799|5262|0|1|905.010
64|298|705.010|11/07/2006 17:19:29|22/02/1996 00:00:00||22/02/1996 00:00:00||0||17293|-1987|15306|0|1|705.010
66|340|407.050|12/07/2006 10:31:39|05/07/2005 00:00:00||05/07/2005 00:00:00|30/03/2011 11:55:09|1|Lot RÓ©úÓ©ëservÓ©úÓ©ë Ó©ú┬á MOI|12580|-12580|0|1|1|407.050
67|340|627.050|12/07/2006 10:31:52|02/02/2006 00:00:00||02/02/2006 00:00:00||0||17180|-17169|11|0|1|627.050
68|392|715.030|12/07/2006 10:51:24|16/05/2005 00:00:00||11/08/2002 00:00:00|30/03/2011 11:59:04|1||16368|-16368|0|0|1|715.030
69|391|307.050|12/07/2006 11:59:21|05/07/2005 00:00:00||05/07/2005 00:00:00|30/03/2011 11:53:12|1| Regul stock le 02/07/07 cse: vente Bioclon|14418|-14418|0|0|1|307.050
70|299|507.050|12/07/2006 12:00:26|05/07/2005 00:00:00||05/07/2005 00:00:00|30/03/2011 11:56:33|1||1300|-1300|0|0|1|507.050
71|299|721.150|12/07/2006 12:00:45|06/12/2005 00:00:00||07/12/2005 00:00:00|30/03/2011 11:59:20|1||400|-400|0|0|1|721.150
